"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Continent";"Code du pays";"Libellé du pays";"Libellé du flux";"Valeur DHS Janvier 2017";"Valeur DHS Février 2017";"Valeur DHS Mars 2017";"Valeur DHS Avril 2017";"Valeur DHS Mai 2017";"Valeur DHS Juin 2017";"Valeur DHS Juillet 2017";"Valeur DHS Aout 2017";"Valeur DHS Septembre 2017";"Valeur DHS Octobre 2017";"Valeur DHS Novembre 2017";"Valeur DHS Décembre 2017";"Valeur DHS Janvier 2018";"Valeur DHS Février 2018";"Valeur DHS Mars 2018";"Valeur DHS Avril 2018";"Valeur DHS Mai 2018";"Valeur DHS Juin 2018";"Valeur DHS Juillet 2018";"Valeur DHS Aout 2018";"Valeur DHS Septembre 2018";"Valeur DHS Octobre 2018";"Valeur DHS Novembre 2018";"Valeur DHS Décembre 2018";"Valeur DHS Janvier 2019";"Valeur DHS Février 2019";"Valeur DHS Mars 2019";"Valeur DHS Avril 2019";"Valeur DHS Mai 2019";"Valeur DHS Juin 2019";"Valeur DHS Juillet 2019";"Valeur DHS Aout 2019";"Valeur DHS Septembre 2019";"Valeur DHS Octobre 2019";"Valeur DHS Novembre 2019";"Valeur DHS Décembre 2019";"Valeur DHS Janvier 2020";"Valeur DHS Février 2020";"Valeur DHS Mars 2020";"Valeur DHS Avril 2020";"Valeur DHS Mai 2020";"Valeur DHS Juin 2020";"Valeur DHS Juillet 2020";"Valeur DHS Aout 2020";"Valeur DHS Septembre 2020";"Valeur DHS Octobre 2020";"Valeur DHS Novembre 2020";"Valeur DHS Décembre 2020";"Valeur DHS Janvier 2021";"Valeur DHS Février 2021";"Valeur DHS Mars 2021";"Valeur DHS Avril 2021";"Valeur DHS Mai 2021";"Valeur DHS Juin 2021";"Valeur DHS Juillet 2021";"Valeur DHS Aout 2021";"Valeur DHS Septembre 2021";"Valeur DHS Octobre 2021";"Valeur DHS Novembre 2021";"Valeur DHS Décembre 2021";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"EUROPE";"RU";"FEDERATION DE RUSSIE";"Exportations FAB";"57097";"162240,36";"91628";"0";"204324";"170055";"412795";"327590";"231744";"363584,43";"1203336";"0";"257361,95";"527087,84";"471802";"251665";"212563";"210099";"0";"160127";"195222";"485324";"341794";"94761";"677783";"0";"252201";"49324";"641667";"169560";"223103";"199194";"245215";"444640,54";"234080";"1317979";"964196";"667894";"424895";"0";"325226";"100701";"437023,45";"66817,73";"239135";"30657";"942044";"832847";"1556369";"1255468";"722280";"419295,9";"359680";"536540,4";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AFRIQUE";"CI";"COTE D'IVOIRE";"Exportations FAB";"397043";"180918";"3545880";"42891";"276086";"52432";"216122";"31954";"245979";"191680";"493605";"0";"45699";"649843";"898818";"264748";"0";"833470";"79646";"147944";"0";"1255467";"314109";"1007469";"2205";"231510";"200330";"407921";"199505";"518";"284522,28";"254143,64";"8259";"479314,165";"4670";"892402";"0";"347400";"0";"198153";"149291";"0";"55498";"0";"208";"212441";"18882";"0";"232";"65275";"308682";"0";"78639";"288270";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AFRIQUE";"CI";"COTE D'IVOIRE";"Importations CAF";"617684";"0";"0";"0";"205023";"37099257";"23370";"0";"290799";"443520";"0";"740";"0";"931";"0";"0";"310694";"175844";"44161";"161658";"79852";"504000";"0";"474585";"486512";"0";"287000";"100800";"1451534";"214746";"100800";"2907081";"0";"1690890";"0";"0";"636943";"1067110";"283619";"0";"1187495";"3533";"649782";"101089";"410072";"0";"1117153";"101994";"572531,33";"0";"1281948";"901773";"45376162,48";"36173737";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AFRIQUE";"MG";"MADAGASCAR";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"394338";"1150648";"2335669";"0";"0";"0";"0";"0";"3270";"0";"0";"0";"0";"0";"0";"0";"427";"0";"0";"0";"0";"0";"0";"0";"44110";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"241676";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AFRIQUE";"MG";"MADAGASCAR";"Importations CAF";"237713";"621883";"1993104";"2530932";"10304560";"5114732";"20675610";"15321997";"3863200";"3764936";"6076440";"1601486";"5646155";"9559946";"25971869";"27610298";"5368020";"2657309";"28376967";"27571044";"21072674";"21939208";"19972419";"0";"6196286";"30739316";"3074386";"2367963";"5757255";"4385776";"15967751";"4036387";"32452556";"4546589";"106375249";"3112601";"1425106";"52198757";"5943875";"3221869";"252000";"29615992";"0";"49226911";"3512875";"6344743";"3091190";"6201630";"6776986";"2596932";"4691886";"5068521";"1857659";"3704400";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AFRIQUE";"RE";"REUNION";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19205";"0";"0";"0";"0";"0";"0";"300";"0";"1702";"0";"0";"0";"14893,99";"0";"0";"0";"7445";"0";"3487";"0";"0";"0";"4848";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AFRIQUE";"TG";"TOGO";"Exportations FAB";"0";"0";"0";"0";"171541,08";"0";"167588";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152754";"0";"0";"0";"338668";"240668";"187158";"85000";"0";"0";"0";"0";"0";"0";"146509";"0";"0";"0";"0";"0";"265131";"0";"55674,33";"238088";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AMERIQUE";"BR";"BRESIL";"Exportations FAB";"708171";"132348";"704759";"263332,17";"707635";"557085";"853128";"911324";"0";"881060";"497457";"0";"619390";"536451";"793663";"261242";"233700";"675973";"0";"441085";"984468";"632184";"560398";"619715";"344739";"342338";"2100466";"493033";"691915";"1587218";"573705";"844641";"868556";"693052";"162500";"0";"134212";"92849";"811349";"0";"0";"328459,48";"910478";"419374";"717700";"70791,37";"276847";"247";"125743";"4060";"1182";"122672";"0";"329176";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AMERIQUE";"CO";"COLOMBIE";"Exportations FAB";"29146";"0";"0";"0";"0";"0";"21277";"0";"0";"0";"0";"1488712";"1869524";"0";"0";"0";"2522353";"1323978";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6739";"0";"0";"0";"0";"0";"0";"0";"0";"1662325";"0";"14013,31";"14245,3";"0";"1742447";"0";"3946925";"0";"0";"2209939";"1769519";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"AMERIQUE";"EC";"EQUATEUR";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2904";"0";"0";"0";"0";"0";"0";"0";"0";"8136";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"0";"0";"0";"0";
